impedance_cycle,discharge_cycle,soh_pct,capacity_ah,Re_ohm,Rct_ohm
70,56,87.482,1.7496,0.04648,0.071098
71,57,87.483,1.7497,0.047438,0.070116
72,57,87.483,1.7497,0.047969,0.070893
73,58,87.251,1.745,0.048992,0.070408
74,58,87.251,1.745,0.048225,0.070977
75,59,86.982,1.7396,0.048215,0.069617
76,59,86.982,1.7396,0.04909,0.070229
77,60,86.428,1.7286,0.047913,0.069481
78,60,86.428,1.7286,0.048817,0.071894
79,61,86.195,1.7239,0.04761,0.070361
80,61,86.195,1.7239,0.048892,0.070126
81,62,85.699,1.714,0.048347,0.0703
82,62,85.699,1.714,0.047423,0.069078
83,63,85.699,1.714,0.050111,0.069601
84,63,85.699,1.714,0.04846,0.070838
85,65,85.201,1.704,0.048745,0.072489
86,65,85.201,1.704,0.048909,0.072244
87,66,84.679,1.6936,0.048348,0.070072
88,66,84.679,1.6936,0.050493,0.071478
89,67,84.383,1.6877,0.047906,0.070767
90,67,84.383,1.6877,0.049654,0.072815
91,68,84.154,1.6831,0.048156,0.070315
92,68,84.154,1.6831,0.049805,0.071837
93,69,83.896,1.6779,0.048719,0.070731
94,69,83.896,1.6779,0.049601,0.072121
95,70,83.66,1.6732,0.04831,0.070641
96,70,83.66,1.6732,0.049333,0.072638
97,71,83.372,1.6674,0.048022,0.071076
98,71,83.372,1.6674,0.048245,0.073444
99,72,83.113,1.6623,0.048879,0.07068
100,72,83.113,1.6623,0.050015,0.073819
101,73,82.871,1.6574,0.049124,0.070043
102,73,82.871,1.6574,0.047457,0.072556
103,74,82.627,1.6525,0.048937,0.071099
104,74,82.627,1.6525,0.048886,0.072899
105,75,82.361,1.6472,0.049111,0.071476
106,75,82.361,1.6472,0.049042,0.072024
107,76,81.821,1.6364,0.050302,0.07382
108,76,81.821,1.6364,0.04862,0.072235
109,78,82.056,1.6411,0.048586,0.072234
110,78,82.056,1.6411,0.048307,0.074496
111,79,81.579,1.6316,0.048769,0.070646
112,79,81.579,1.6316,0.048077,0.074038
113,80,81.061,1.6212,0.048124,0.072189
114,80,81.061,1.6212,0.048897,0.071937
115,81,80.821,1.6164,0.048288,0.071193
116,81,80.821,1.6164,0.050605,0.074005
117,82,80.791,1.6158,0.05189,0.07338
118,82,80.791,1.6158,0.055132,0.074632
119,83,80.836,1.6167,0.053148,0.074198
120,83,80.836,1.6167,0.052122,0.075303
121,84,80.543,1.6109,0.051887,0.073317
122,84,80.543,1.6109,0.050776,0.074964
123,85,80.033,1.6007,0.051279,0.074134
124,85,80.033,1.6007,0.051267,0.075412
125,86,79.796,1.5959,0.051621,0.074568
126,86,79.796,1.5959,0.051356,0.074965
127,87,79.811,1.5962,0.052188,0.073026
128,87,79.811,1.5962,0.051949,0.074699
129,88,79.79,1.5958,0.051324,0.073941
130,88,79.79,1.5958,0.051287,0.075395
131,89,79.533,1.5907,0.052842,0.073858
132,89,79.533,1.5907,0.055028,0.077059
133,90,84.441,1.6888,0.055273,0.076665
134,91,81.3,1.626,0.053784,0.076307
135,91,81.3,1.626,0.053241,0.075583
136,92,80.787,1.6157,0.054787,0.077432
137,92,80.787,1.6157,0.052735,0.075743
138,93,80.283,1.6057,0.054277,0.075171
139,93,80.283,1.6057,0.054102,0.076059
140,94,79.749,1.595,0.053356,0.076242
141,94,79.749,1.595,0.053379,0.076877
142,95,79.521,1.5904,0.055185,0.076733
143,95,79.521,1.5904,0.055238,0.078844
144,96,79.268,1.5854,0.053994,0.07774
145,96,79.268,1.5854,0.054439,0.077854
146,97,78.999,1.58,0.055109,0.076231
147,97,78.999,1.58,0.054055,0.078211
148,98,78.761,1.5752,0.054791,0.077132
149,98,78.761,1.5752,0.053353,0.078199
150,99,78.49,1.5698,0.053729,0.076127
151,99,78.49,1.5698,0.053548,0.077998
152,100,78.513,1.5703,0.053429,0.074754
153,100,78.513,1.5703,0.054296,0.077556
154,101,78.262,1.5652,0.054662,0.07846
155,101,78.262,1.5652,0.054141,0.078491
156,102,77.982,1.5596,0.053882,0.077479
157,102,77.982,1.5596,0.054977,0.078639
158,103,78.249,1.565,0.054276,0.075378
159,104,78.749,1.575,0.053775,0.076163
160,104,78.749,1.575,0.054524,0.078173
161,105,78.264,1.5653,0.053181,0.075462
162,105,78.264,1.5653,0.054412,0.078168
163,106,77.988,1.5598,0.054095,0.076844
164,106,77.988,1.5598,0.054512,0.076511
165,107,77.495,1.5499,0.056164,0.077699
166,107,77.495,1.5499,0.052352,0.077256
167,108,77.194,1.5439,0.055617,0.075708
168,108,77.194,1.5439,0.055583,0.077235
169,109,77.251,1.545,0.054893,0.078442
170,109,77.251,1.545,0.054741,0.079018
171,110,77.23,1.5446,0.0556,0.076235
172,110,77.23,1.5446,0.055237,0.079939
173,111,76.715,1.5343,0.053963,0.078689
174,111,76.715,1.5343,0.057265,0.079423
175,112,76.438,1.5288,0.054115,0.07613
176,112,76.438,1.5288,0.051071,0.078765
177,113,76.446,1.5289,0.052453,0.078369
178,113,76.446,1.5289,0.055089,0.078067
179,114,76.455,1.5291,0.053291,0.077742
180,114,76.455,1.5291,0.055779,0.078243
181,115,76.195,1.5239,0.053743,0.07767
182,115,76.195,1.5239,0.058455,0.078088
183,116,75.933,1.5187,0.054645,0.0782
184,116,75.933,1.5187,0.054873,0.081143
185,117,75.682,1.5136,0.058284,0.078446
186,117,75.682,1.5136,0.056899,0.078872
187,118,75.68,1.5136,0.05429,0.077972
188,118,75.68,1.5136,0.055743,0.080057
189,119,75.697,1.5139,0.056766,0.078367
190,119,75.697,1.5139,0.054464,0.07792
191,121,76.957,1.5391,0.059681,0.079515
192,121,76.957,1.5391,0.056043,0.079913
193,122,76.181,1.5236,0.057541,0.081491
194,122,76.181,1.5236,0.057197,0.081853
195,123,75.679,1.5136,0.056907,0.080004
196,123,75.679,1.5136,0.05534,0.080867
197,124,75.389,1.5078,0.056703,0.081278
198,124,75.389,1.5078,0.057051,0.081538
199,125,75.16,1.5032,0.057535,0.077131
200,125,75.16,1.5032,0.057762,0.082066
201,126,74.891,1.4978,0.057687,0.080221
202,126,74.891,1.4978,0.057585,0.082933
203,127,74.642,1.4928,0.057703,0.081269
204,127,74.642,1.4928,0.056707,0.082688
205,128,74.621,1.4924,0.057232,0.082695
206,128,74.621,1.4924,0.058716,0.082942
207,129,74.374,1.4875,0.057861,0.080796
208,129,74.374,1.4875,0.05711,0.08239
209,130,74.127,1.4825,0.057511,0.081829
210,130,74.127,1.4825,0.057018,0.081657
211,131,74.139,1.4828,0.058181,0.082487
212,131,74.139,1.4828,0.057715,0.083974
213,132,73.849,1.477,0.057554,0.082198
214,132,73.849,1.477,0.056868,0.083735
215,135,74.104,1.4821,0.060095,0.07958
216,135,74.104,1.4821,0.054657,0.081969
217,136,73.856,1.4771,0.056009,0.082384
218,136,73.856,1.4771,0.058554,0.081713
219,137,73.604,1.4721,0.057169,0.082204
220,137,73.604,1.4721,0.05828,0.082822
221,138,73.612,1.4722,0.063915,0.087304
222,138,73.612,1.4722,0.065543,0.087126
223,139,73.351,1.467,0.063059,0.085736
224,139,73.351,1.467,0.063437,0.089612
225,140,73.088,1.4618,0.064649,0.089562
226,140,73.088,1.4618,0.064091,0.089231
227,141,72.835,1.4567,0.063419,0.087981
228,141,72.835,1.4567,0.064945,0.088279
229,142,72.568,1.4514,0.064047,0.089693
230,142,72.568,1.4514,0.063091,0.090665
231,143,72.581,1.4516,0.064351,0.087337
232,143,72.581,1.4516,0.063568,0.090368
233,144,72.341,1.4468,0.065919,0.088506
234,144,72.341,1.4468,0.063543,0.089937
235,145,72.338,1.4468,0.064998,0.089188
236,145,72.338,1.4468,0.063628,0.09245
237,146,72.069,1.4414,0.065915,0.08882
238,146,72.069,1.4414,0.065901,0.090033
239,147,71.812,1.4362,0.065143,0.089998
240,147,71.812,1.4362,0.064349,0.092834
241,148,71.841,1.4368,0.065182,0.090839
242,148,71.841,1.4368,0.064769,0.09122
243,149,71.815,1.4363,0.063543,0.088528
244,149,71.815,1.4363,0.063531,0.091167
245,150,72.093,1.4419,0.064225,0.087405
246,151,73.36,1.4672,0.064159,0.090329
247,151,73.36,1.4672,0.066436,0.086716
248,152,72.593,1.4519,0.063454,0.087687
249,152,72.593,1.4519,0.063298,0.088374
250,153,72.357,1.4471,0.062919,0.085824
251,153,72.357,1.4471,0.061456,0.088896
252,154,72.09,1.4418,0.062378,0.087212
253,154,72.09,1.4418,0.063824,0.090174
254,155,71.582,1.4316,0.062757,0.089746
255,155,71.582,1.4316,0.064547,0.090248
256,156,71.59,1.4318,0.063935,0.088922
257,156,71.59,1.4318,0.062497,0.091155
258,157,71.313,1.4263,0.062651,0.088037
259,157,71.313,1.4263,0.063348,0.091726
260,158,71.304,1.4261,0.065793,0.090251
261,158,71.304,1.4261,0.067294,0.088776
262,159,71.063,1.4213,0.06431,0.090939
263,159,71.063,1.4213,0.065795,0.089137
264,160,70.816,1.4163,0.064318,0.089651
265,160,70.816,1.4163,0.067069,0.089317
266,161,70.829,1.4166,0.062648,0.090628
267,161,70.829,1.4166,0.064909,0.090757
268,162,70.542,1.4108,0.064099,0.090489
269,162,70.542,1.4108,0.064685,0.09126
270,163,70.55,1.411,0.062638,0.088971
271,163,70.55,1.411,0.064766,0.093315
272,164,70.309,1.4062,0.064611,0.090195
273,164,70.309,1.4062,0.064686,0.093572
274,165,70.317,1.4063,0.064921,0.089555
275,165,70.317,1.4063,0.064925,0.091327
276,166,70.023,1.4005,0.064664,0.091988
277,166,70.023,1.4005,0.062425,0.089812
278,168,71.623,1.4325,0.067143,0.093314
